instance,method,rep,bestFitness,avgFitness,worstFitness,evaluations,timeMs,populationSize,generations,mutationProb,crossoverProb,tournamentSize,tabuSize
tai100_20_0,GA,7,393344,393971.86,400992,10000,1073.474,100,100,0.010,0.700,5,7
tai100_20_0,GA,8,390680,391907.84,399605,10000,1040.015,100,100,0.010,0.700,5,7
tai100_20_0,GA,9,393105,393959.86,400971,10000,1039.416,100,100,0.010,0.700,5,7
tai100_20_0,TS,0,418115,418115.00,418115,9900,1318.077,100,100,0.010,0.700,5,7
tai100_20_0,TS,1,419999,419999.00,419999,9900,1323.920,100,100,0.010,0.700,5,7
tai100_20_0,TS,2,424428,424428.00,424428,9900,1309.305,100,100,0.010,0.700,5,7
tai100_20_0,TS,3,418220,418220.00,418220,9900,1404.399,100,100,0.010,0.700,5,7
tai100_20_0,TS,4,419177,419177.00,419177,9900,1341.871,100,100,0.010,0.700,5,7
tai100_20_0,TS,5,417814,417814.00,417814,9900,1325.578,100,100,0.010,0.700,5,7
tai100_20_0,TS,6,419082,419082.00,419082,9900,1358.443,100,100,0.010,0.700,5,7
tai100_20_0,TS,7,417801,417801.00,417801,9900,1328.374,100,100,0.010,0.700,5,7
tai100_20_0,TS,8,421974,421974.00,421974,9900,1394.704,100,100,0.010,0.700,5,7
tai100_20_0,TS,9,424508,424508.00,424508,9900,1423.845,100,100,0.010,0.700,5,7
tai500_20_0,Greedy,0,8104301,8104301.00,8104301,500,19049.648,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,0,7616280,0.00,8060127,10000,4767.312,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,1,7598570,0.00,8054993,10000,4776.432,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,2,7633781,0.00,8130244,10000,4799.134,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,3,7610444,0.00,8048332,10000,4780.346,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,4,7631819,0.00,8048852,10000,4748.783,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,5,7603451,0.00,8049266,10000,4768.272,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,6,7603355,0.00,8012487,10000,4805.217,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,7,7604663,0.00,8071510,10000,4751.712,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,8,7621743,0.00,8034360,10000,4756.203,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,9,7609093,0.00,8039098,10000,4762.074,100,100,0.010,0.700,5,7
tai500_20_0,GA,0,7363667,7378073.08,7420262,10000,4633.760,100,100,0.010,0.700,5,7
tai500_20_0,GA,1,7361018,7370261.66,7412410,10000,4656.620,100,100,0.010,0.700,5,7
tai500_20_0,GA,2,7429936,7438538.65,7481525,10000,4652.858,100,100,0.010,0.700,5,7
tai500_20_0,GA,3,7346917,7356551.12,7422437,10000,4669.068,100,100,0.010,0.700,5,7
tai500_20_0,GA,4,7401689,7412074.71,7440922,10000,4660.459,100,100,0.010,0.700,5,7
tai500_20_0,GA,5,7360647,7370120.07,7409230,10000,4652.982,100,100,0.010,0.700,5,7
tai500_20_0,GA,6,7356087,7363676.25,7391110,10000,4644.468,100,100,0.010,0.700,5,7
tai500_20_0,GA,7,7355057,7364951.36,7391443,10000,4682.968,100,100,0.010,0.700,5,7
tai500_20_0,GA,8,7366369,7377636.78,7402861,10000,4620.318,100,100,0.010,0.700,5,7
tai500_20_0,GA,9,7403113,7406869.89,7438001,10000,4656.021,100,100,0.010,0.700,5,7
tai500_20_0,TS,0,7834212,7834212.00,7834212,0,37965.979,100,100,0.010,0.700,5,7
tai500_20_0,TS,1,7850823,7850823.00,7850823,0,37973.393,100,100,0.010,0.700,5,7
tai500_20_0,TS,2,7785636,7785636.00,7785636,0,37999.375,100,100,0.010,0.700,5,7
tai500_20_0,TS,3,7848573,7848573.00,7848573,0,37942.204,100,100,0.010,0.700,5,7
tai500_20_0,TS,4,7853168,7853168.00,7853168,0,37890.359,100,100,0.010,0.700,5,7
tai500_20_0,TS,5,7727039,7727039.00,7727039,0,37900.982,100,100,0.010,0.700,5,7
tai500_20_0,TS,6,7853998,7853998.00,7853998,0,37931.234,100,100,0.010,0.700,5,7
tai500_20_0,TS,7,7809357,7809357.00,7809357,0,37974.401,100,100,0.010,0.700,5,7
tai500_20_0,TS,8,7780076,7780076.00,7780076,0,37952.137,100,100,0.010,0.700,5,7
tai500_20_0,TS,9,7780820,7780820.00,7780820,0,37909.085,100,100,0.010,0.700,5,7
