instance,method,rep,bestFitness,avgFitness,worstFitness,evaluations,timeMs,populationSize,generations,mutationProb,crossoverProb,tournamentSize,tabuSize
tai20_10_0,TS,6,20497,20497.00,20691,9880,81.858,100,100,0.010,0.700,5,7
tai20_10_0,TS,7,20076,20076.00,20124,9880,81.508,100,100,0.010,0.700,5,7
tai20_10_0,TS,8,20463,20463.00,20519,9880,56.640,100,100,0.010,0.700,5,7
tai20_10_0,TS,9,20082,20082.00,20238,9880,69.941,100,100,0.010,0.700,5,7
tai20_10_0,ILS,0,19884,20051.19,20649,2005,10569.817,100,100,0.010,0.700,5,7
tai20_10_0,ILS,1,19884,20055.02,20485,2004,10915.956,100,100,0.010,0.700,5,7
tai20_10_0,ILS,2,19884,20051.14,20517,2005,10412.265,100,100,0.010,0.700,5,7
tai20_10_0,ILS,3,19884,20056.30,20631,2004,10705.681,100,100,0.010,0.700,5,7
tai20_10_0,ILS,4,19884,20054.33,20542,2003,10773.539,100,100,0.010,0.700,5,7
tai20_10_0,ILS,5,19884,20051.79,20551,2004,10714.825,100,100,0.010,0.700,5,7
tai20_10_0,ILS,6,19884,20056.64,20550,2005,11970.471,100,100,0.010,0.700,5,7
tai20_10_0,ILS,7,19884,20059.79,20562,2004,12126.718,100,100,0.010,0.700,5,7
tai20_10_0,ILS,8,19884,20049.91,20770,2004,11243.124,100,100,0.010,0.700,5,7
tai20_10_0,ILS,9,19884,20053.27,20611,2004,11546.802,100,100,0.010,0.700,5,7
tai20_20_0,Greedy,0,34099,34099.00,34099,20,1.295,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,0,33491,0.00,39156,10000,93.523,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,1,33177,0.00,39200,10000,87.059,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,2,33357,0.00,39346,10000,113.127,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,3,33591,0.00,39341,10000,86.936,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,4,33411,0.00,39023,10000,97.144,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,5,33091,0.00,39166,10000,78.736,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,6,33294,0.00,39266,10000,70.902,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,7,33610,0.00,39432,10000,80.258,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,8,33223,0.00,39144,10000,66.485,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,9,33361,0.00,39093,10000,103.744,100,100,0.010,0.700,5,7
